id,sampledSeconds,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,interval,congestion_level
1220323700,971.87,22.24,23.39,1.29,1.29,0.62,0.0,134.52,9.18,0.83,18,8,24,34,0,0,11,0
1220323800,1088.86,22.45,23.01,1.44,1.44,0.71,0.0,135.58,9.33,0.84,29,2,19,46,0,0,11,0
1220329100,416.06,41.21,42.53,0.56,0.56,0.28,104.0,156.28,4.98,0.6,9,0,1,10,0,0,11,0
1220329200,245.77,26.79,27.51,0.33,0.33,0.16,0.0,22.96,7.67,0.92,2,5,7,4,0,0,11,0
1220329300,611.06,27.59,28.36,0.83,0.83,0.41,0.0,61.13,7.35,0.88,5,11,17,10,0,0,11,0
1220329400,203.37,24.97,25.59,0.28,0.28,0.14,0.0,16.05,8.12,0.97,1,7,7,1,0,0,11,0
1220329500,198.11,17.66,18.3,0.41,0.41,0.2,0.0,17.9,7.63,0.92,1,9,10,2,0,0,11,0
1220329600,270.43,17.66,18.32,0.56,0.56,0.27,0.0,23.87,7.61,0.91,2,13,13,2,0,0,11,0
1220329700,156.37,21.93,22.62,0.27,0.27,0.13,0.0,15.55,7.34,0.88,2,5,5,2,0,0,11,0
1220329800,44.27,22.03,22.78,0.08,0.08,0.04,0.0,5.96,7.39,0.89,1,1,1,1,0,0,11,0
1220330200,160.57,39.58,41.95,0.54,0.54,0.26,0.0,38.25,2.1,0.76,0,4,4,0,0,0,11,0
1220330700,244.65,24.02,25.17,0.51,0.51,0.25,50.0,87.1,5.54,0.67,7,3,3,7,0,0,11,0
1220330800,854.11,17.44,18.39,2.15,2.15,1.04,53.0,188.4,6.28,0.75,31,17,17,31,0,0,11,0
1220330900,592.09,11.17,11.85,1.4,1.4,0.67,0.0,129.61,10.34,0.74,23,9,28,42,0,0,11,2
1220331000,1394.47,18.93,20.68,3.31,3.31,1.58,420.0,778.12,5.9,0.42,14,0,54,68,0,0,11,0
1220331900,427.67,19.94,20.69,0.82,0.82,0.4,8.0,53.01,7.21,0.87,1,12,19,9,0,0,11,0
1220332000,946.34,22.53,23.3,1.72,1.72,0.83,38.0,147.54,6.78,0.81,11,6,30,35,0,0,11,0
1220332100,146.36,73.24,75.23,0.24,0.24,0.12,0.0,33.52,2.28,0.82,1,1,1,1,0,0,11,0
1220332200,505.13,84.47,86.62,0.84,0.84,0.42,12.0,128.84,1.98,0.71,4,2,2,4,0,0,11,0
1220332700,302.54,13.95,15.2,1.0,1.0,0.47,27.0,80.91,5.86,0.7,4,0,17,20,0,0,11,0
1220332800,342.44,11.78,12.54,1.13,1.13,0.54,0.0,41.64,7.1,0.85,10,5,18,23,0,0,11,0
1220333300,286.6,12.66,13.14,0.63,0.63,0.3,0.0,29.0,10.01,0.9,2,20,20,2,0,0,11,2
1220333400,246.26,14.08,14.79,0.54,0.54,0.26,1.0,41.81,8.85,0.8,7,9,10,8,0,0,11,0
1220333500,880.01,12.41,13.45,2.84,2.84,1.35,125.0,296.37,6.78,0.61,19,6,48,59,0,0,11,0
1220333600,470.06,8.43,8.92,1.51,1.51,0.72,0.0,38.78,10.23,0.92,2,15,51,38,0,0,11,2
1220333900,681.21,14.03,14.85,1.45,1.45,0.68,0.0,102.73,9.13,0.82,1,5,45,41,0,0,11,0
1220334000,231.33,12.52,12.99,0.49,0.49,0.24,0.0,20.27,10.42,0.94,3,13,15,5,0,0,11,2
1220334100,133.75,11.51,12.27,0.42,0.42,0.2,19.0,39.82,7.54,0.68,0,7,11,4,0,0,11,0
1220334200,729.71,9.51,10.65,2.24,2.24,1.04,0.0,118.59,8.96,0.81,2,18,67,51,0,0,11,0
1220341900,3201.73,45.79,46.5,1.56,1.56,0.77,1.0,317.7,12.39,0.89,12,10,57,59,0,0,11,2
1220342000,107.84,3.26,3.7,0.81,0.2,0.09,0.0,42.49,11.36,0.51,7,5,23,25,21,21,11,2
1220342100,162.79,17.51,18.1,0.21,0.21,0.1,8.0,23.47,12.36,0.89,0,5,9,4,0,0,11,2
1220342200,49.31,5.92,6.16,0.17,0.04,0.02,0.0,18.12,14.14,0.64,0,0,8,8,5,5,11,2
1220342300,414.59,29.49,29.72,0.19,0.05,0.02,0.0,43.66,20.16,0.91,6,0,8,14,19,19,11,2
1220342500,208.82,22.64,23.2,0.12,0.03,0.02,0.0,12.7,20.58,0.93,0,0,9,9,6,6,11,2
1220342600,1080.26,17.48,17.73,0.83,0.83,0.41,0.0,77.05,20.57,0.93,5,0,56,61,0,0,11,2
1220342800,806.7,15.53,15.85,0.7,0.17,0.09,0.0,55.99,20.64,0.93,5,11,46,40,11,11,11,2
1220342900,393.52,8.54,8.77,0.64,0.16,0.08,0.0,32.6,20.13,0.91,4,14,41,31,2,2,11,2
1220343000,1398.29,30.17,30.4,0.59,0.15,0.07,0.0,40.29,21.71,0.98,0,0,46,46,15,15,11,2
1220345701,3113.5,34.94,35.61,2.51,2.51,1.24,0.0,270.46,9.81,0.88,18,5,70,82,0,0,11,0
1220345801,448.09,13.77,14.0,0.51,0.13,0.06,0.0,90.64,17.94,0.81,0,0,32,32,24,24,11,2
1220345901,3318.11,28.22,28.64,1.63,0.27,0.13,0.0,277.91,19.89,0.9,10,14,106,102,95,95,11,2
1230004503,11.09,2.63,2.86,0.05,0.01,0.01,0.0,0.31,22.54,1.01,0,4,4,0,0,0,11,2
1210005305,11.58,11.38,11.64,0.01,0.0,0.0,0.0,0.36,19.59,0.88,0,1,1,0,0,0,12,2
1210005600,148.65,24.37,25.07,0.15,0.15,0.07,0.0,25.01,11.52,0.83,4,2,2,4,0,0,12,2
1210005702,407.09,5.69,6.09,1.69,0.56,0.26,0.0,49.88,11.81,0.85,0,6,67,61,82,82,12,2
1210006000,297.49,22.32,23.15,0.39,0.19,0.09,10.0,41.4,9.48,0.85,0,1,12,12,2,2,12,0
1210006202,543.31,6.38,6.77,1.95,0.49,0.23,0.0,60.19,12.18,0.88,11,0,70,81,9,9,12,2
1210006302,601.57,6.54,6.93,2.0,2.0,0.94,0.0,41.74,12.79,0.92,1,13,86,74,0,0,12,2
1210029403,79.71,6.38,6.7,0.23,0.12,0.05,0.0,6.72,15.03,0.9,0,12,12,0,0,0,12,2
1210029503,10.89,10.68,11.47,0.03,0.02,0.01,0.0,5.31,8.78,0.53,1,0,0,1,0,0,12,0
1210030001,3221.25,17.81,18.75,4.87,0.97,0.47,367.0,840.44,10.06,0.72,0,1,173,170,371,371,12,2
1210030002,3323.79,37.64,38.02,1.91,0.48,0.24,0.0,191.01,12.86,0.93,10,7,79,80,56,56,12,2
1210030102,2746.51,14.59,14.98,4.11,1.03,0.5,0.0,189.64,12.72,0.92,3,28,181,155,30,30,12,2
1210030103,2894.28,33.66,34.05,1.85,0.62,0.3,0.0,170.62,12.94,0.93,0,0,85,85,6,6,12,2
1210030203,204.35,8.76,9.6,0.9,0.3,0.14,0.0,79.85,7.09,0.51,23,0,0,23,44,44,12,0
1210030304,154.45,6.18,7.02,0.7,0.23,0.1,0.0,34.44,9.39,0.68,0,0,22,22,42,42,12,2
1210030501,530.4,7.14,7.53,1.82,0.61,0.28,0.0,86.6,11.4,0.82,3,0,68,70,41,41,12,2
1210030601,739.06,28.11,28.46,0.54,0.11,0.05,0.0,120.6,13.64,0.82,26,0,0,27,12,12,12,2
1210030701,201.82,28.5,28.83,0.13,0.03,0.01,0.0,8.98,15.08,0.9,0,7,7,0,0,0,12,2
1210065000,3141.55,31.92,32.32,2.14,2.14,1.05,0.0,189.87,12.8,0.92,0,5,98,93,0,0,12,2
1210065300,447.12,11.88,12.6,1.38,0.69,0.33,2.0,143.24,7.55,0.68,37,0,1,37,0,0,12,0
1210065800,2924.55,83.49,83.98,0.95,0.95,0.47,0.0,174.89,10.28,0.93,0,5,35,29,0,0,12,0
1210066200,581.2,11.83,12.32,1.44,0.72,0.35,0.0,75.61,9.48,0.85,19,1,29,47,19,19,12,0
1210067200,387.38,8.21,8.92,1.48,1.48,0.69,0.0,83.17,8.7,0.78,9,1,35,43,0,0,12,0
1210178700,404.95,4.81,5.19,1.88,0.63,0.29,0.0,34.8,12.48,0.9,5,0,74,78,12,12,12,2
1210178800,1231.27,11.24,11.96,2.47,0.82,0.39,0.0,108.01,11.99,0.86,0,2,103,101,0,0,12,2
1220002202,5766.53,59.2,60.37,2.94,0.74,0.36,2034.0,2553.29,9.1,0.55,5,12,90,83,103,103,12,0
1220002302,10673.17,79.98,80.97,5.45,1.09,0.54,5330.0,6238.13,6.78,0.41,16,2,114,135,256,256,12,0
1220002700,16342.13,62.41,63.85,8.86,2.22,1.09,6094.0,8279.67,8.1,0.49,5,6,251,250,206,206,12,0
1220002800,9265.52,33.14,33.49,5.03,1.01,0.5,4.0,529.54,15.44,0.93,7,13,272,262,449,449,12,2
1220003000,863.48,93.68,94.1,0.13,0.04,0.02,0.0,72.71,20.21,0.91,9,0,0,10,0,0,12,2
1220003101,2311.46,5.61,6.1,7.78,1.95,0.91,0.0,233.0,14.34,0.86,1,13,378,366,60,60,12,2
1220003102,3248.1,8.11,8.46,7.21,1.8,0.87,0.0,208.27,15.39,0.92,9,0,376,384,84,84,12,2
1220003103,2039.09,4.74,5.09,7.73,1.93,0.9,0.0,119.18,15.37,0.92,0,3,402,397,74,74,12,2
1220003104,5586.72,10.73,11.37,9.6,2.4,1.14,110.0,570.99,14.66,0.88,11,11,482,480,180,180,12,2
1220003201,2272.97,5.51,5.84,7.65,1.53,0.72,0.0,198.61,14.99,0.9,10,3,379,388,150,150,12,2
1220003202,3568.02,8.18,8.49,7.92,1.58,0.76,0.0,246.71,15.32,0.92,15,13,405,408,126,126,12,2
1220003203,2222.83,4.75,5.09,8.43,1.69,0.79,0.0,137.74,15.37,0.92,0,16,435,421,83,83,12,2
1220003204,6755.58,10.75,11.12,11.61,1.66,0.8,0.0,577.27,14.99,0.9,4,28,603,581,442,442,12,2
1220003302,28335.77,39.86,40.45,15.4,2.57,1.27,75.82,1866.58,12.76,0.92,2,20,695,694,1137,1137,12,2
1220003303,7792.27,10.94,11.34,15.54,3.11,1.5,0.0,528.5,12.72,0.92,18,24,670,665,557,557,12,2
1220003402,27718.86,39.44,39.87,15.06,2.51,1.24,0.0,1574.7,12.95,0.93,10,31,688,664,1583,1586,12,2
1220003403,23174.49,34.18,35.47,46.22,6.6,3.23,13277.0,16237.76,4.07,0.29,10,13,644,641,769,769,12,1
1220003501,1245.88,82.38,83.22,0.41,0.41,0.2,0.0,86.89,10.23,0.92,5,0,10,15,0,0,12,0
1220004001,12194.74,21.94,23.17,43.56,6.22,3.01,6966.0,8988.75,3.57,0.26,0,22,526,505,341,341,12,1
1220004002,25076.08,48.58,48.97,11.12,1.85,0.92,0.0,1350.9,12.89,0.93,22,5,491,510,1205,1205,12,2
1220004101,3941.31,6.07,6.47,14.08,2.82,1.32,0.0,266.49,12.79,0.92,6,18,605,592,386,386,12,2
1220004102,29532.33,49.02,49.57,13.1,2.18,1.08,170.0,2169.56,12.74,0.92,13,3,580,598,3370,3370,12,2
1220004201,16051.81,34.69,35.12,9.99,1.43,0.71,0.0,922.41,12.85,0.92,20,10,439,447,1228,1228,12,2
1220004202,1722.82,3.97,4.36,9.71,1.62,0.74,0.0,153.34,12.45,0.9,19,5,378,393,60,60,12,2
1220004203,775.23,11.05,12.02,2.07,0.41,0.19,22.0,253.08,9.08,0.65,10,9,55,56,61,61,12,0
1220004302,22676.02,70.61,71.41,41.74,5.96,2.96,17226.0,19027.41,2.18,0.16,42,7,278,315,418,418,12,1
1220004304,12337.05,29.97,30.36,8.86,1.27,0.62,0.0,703.13,12.91,0.93,24,1,385,406,1045,1045,12,2
1220004305,1727.2,4.71,5.15,8.14,1.36,0.63,6.0,140.28,12.42,0.89,6,16,331,319,37,37,12,2
1220004401,240.75,10.94,11.17,0.29,0.07,0.04,0.0,7.11,21.34,0.96,0,10,22,11,0,0,12,2
1220004501,467.69,29.03,29.26,0.22,0.06,0.03,0.0,44.72,20.04,0.9,2,0,14,16,38,38,12,2
1220004502,3413.65,25.42,25.67,1.82,0.36,0.18,0.0,177.49,20.5,0.92,3,13,130,120,129,129,12,2
1220004600,681.13,19.25,19.93,0.82,0.82,0.4,1.0,100.89,11.85,0.85,6,4,28,31,0,0,12,2
1220004700,531.77,23.87,24.26,0.48,0.48,0.24,0.0,42.79,12.79,0.92,3,13,19,9,0,0,12,2
1220004801,226.18,29.37,29.94,0.98,0.33,0.16,153.0,187.64,2.31,0.17,7,0,1,9,0,0,12,0
1220004802,245.2,24.59,24.97,0.25,0.08,0.04,0.0,40.31,11.3,0.81,10,0,0,10,0,0,12,2
1220004902,157.19,25.88,26.25,0.13,0.04,0.02,0.0,7.95,13.15,0.95,0,6,6,0,1,1,12,2
1220005401,5793.89,72.35,72.69,1.06,0.21,0.11,0.0,319.36,20.92,0.94,13,8,66,73,55,55,12,2
1220005402,671.24,25.17,25.41,0.35,0.07,0.03,0.0,20.76,21.37,0.96,0,8,26,19,4,4,12,2
1220005502,6382.45,53.49,53.79,1.6,0.32,0.16,0.0,310.52,20.64,0.93,16,4,106,114,134,134,12,2
1220005503,4009.98,35.83,36.07,1.5,0.38,0.19,0.0,169.73,20.71,0.93,9,7,103,104,13,13,12,2
1220005601,1048.07,16.19,16.43,0.93,0.23,0.11,0.0,119.5,19.28,0.87,6,4,58,59,28,28,12,2
1220005603,1580.4,45.41,45.65,0.48,0.12,0.06,0.0,97.06,20.16,0.91,10,9,25,25,7,7,12,2
1220005701,1964.88,34.91,35.29,0.78,0.19,0.1,0.0,134.95,20.07,0.9,10,5,45,51,5,5,12,2
1220005703,541.78,28.32,28.55,0.25,0.06,0.03,0.0,32.04,21.12,0.95,3,0,16,19,2,2,12,2
1220010202,606.89,14.4,15.21,0.95,0.47,0.23,0.0,56.96,12.04,0.87,4,0,36,40,12,12,12,2
1220010205,1010.6,13.19,13.67,1.69,0.42,0.2,0.0,83.26,12.54,0.9,1,6,73,68,48,48,12,2
1220010206,208.23,2.61,3.03,2.02,0.51,0.22,1.0,59.99,11.09,0.67,5,26,65,44,34,34,12,2
1220010207,2188.37,12.18,12.67,3.55,0.89,0.43,0.0,294.67,13.91,0.83,5,11,169,160,76,76,12,2
1220010208,1300.33,9.2,9.81,3.28,0.82,0.39,0.0,142.69,11.72,0.84,9,18,125,115,37,37,12,2
1220010302,482.87,14.3,14.69,0.75,0.75,0.37,0.0,35.67,12.47,0.9,4,2,29,31,0,0,12,2
1220010305,256.85,3.6,4.11,2.49,0.62,0.28,0.0,98.99,8.17,0.59,28,3,39,64,44,44,12,0
1220010306,1191.26,12.38,12.79,1.99,0.5,0.24,0.0,198.66,13.41,0.8,26,16,67,78,100,100,12,2
1220010307,991.08,8.99,9.38,2.5,0.63,0.3,0.0,98.98,12.26,0.88,7,9,99,97,21,21,12,2
1220010308,7770.8,55.78,56.63,12.6,3.15,1.56,5541.0,6285.08,3.11,0.19,21,9,117,131,86,86,12,0
1220010600,9025.99,64.43,65.52,6.82,1.7,0.84,4483.0,5277.23,5.69,0.41,3,11,134,132,140,140,12,0
1220010700,2421.8,28.8,29.18,1.82,0.45,0.22,0.0,128.92,12.87,0.93,1,9,82,74,68,68,12,2
1220011402,717.63,6.7,7.1,2.15,0.54,0.26,0.0,100.07,13.74,0.82,16,24,86,78,3,3,12,2
1220011403,326.17,3.61,3.94,1.76,0.44,0.2,0.0,38.14,14.34,0.86,2,4,81,79,47,47,12,2
1220011502,603.54,7.56,7.91,1.85,0.46,0.22,0.0,161.6,12.06,0.72,7,8,69,69,2,2,12,2
1220011503,1093.21,17.79,18.9,5.66,1.42,0.68,639.0,879.5,3.1,0.19,14,2,45,58,15,15,12,0
1220011802,1587.96,41.1,41.49,0.83,0.21,0.1,0.0,84.87,12.91,0.93,4,10,34,28,25,25,12,2
1220011803,287.97,5.58,6.07,1.24,0.25,0.12,0.0,42.4,11.48,0.83,6,3,42,45,28,28,12,2
1220011902,1741.5,41.71,42.09,0.91,0.18,0.09,0.0,132.34,12.7,0.91,3,0,39,41,55,55,12,2
1220011903,1876.78,26.76,27.95,8.06,1.61,0.79,1297.0,1528.89,2.49,0.18,7,7,61,60,45,45,12,0
1220012401,5757.4,25.97,26.48,3.96,0.99,0.49,0.0,325.64,15.43,0.93,11,18,206,200,235,235,12,2
