id,sampledSeconds,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,interval
1220103600,539.86,36.59,37.38,0.33,0.17,0.08,0,52.64,12.18,0.88,0,0,14,15,6,6,21
1220103700,484.99,31.77,32.66,0.57,0.57,0.28,0,45.82,7.41,0.89,5,4,10,11,0,0,21
1220103800,297.04,32.85,33.5,0.34,0.34,0.17,0,30.99,7.41,0.89,4,5,5,4,0,0,21
1220104400,160.62,18.74,19.36,0.3,0.3,0.15,0,15.72,7.87,0.95,3,3,5,6,0,0,21
1220104500,330.33,18.75,19.68,0.7,0.7,0.34,4,44.68,6.93,0.83,5,1,12,16,0,0,21
1220104600,424.74,17.92,18.62,0.9,0.9,0.43,0,39.31,7.32,0.88,0,12,23,11,0,0,21
1220104700,49.18,31.41,32.25,0.07,0.07,0.03,0,5.07,6.5,0.78,0,2,1,0,0,0,21
1220104800,300.25,27,27.63,0.41,0.41,0.2,0,29.76,7.59,0.91,5,3,6,8,0,0,21
1220104900,624.48,29.28,29.93,0.8,0.8,0.39,0,60,7.44,0.89,6,0,15,21,0,0,21
1220105000,597.64,28.59,29.31,0.76,0.38,0.19,0,48.66,7.6,0.91,0,0,20,21,2,2,21
1220105200,381.78,18.53,19.34,0.78,0.78,0.38,0,43.16,7.27,0.87,5,4,15,16,0,0,21
1220105300,230.2,18.41,19.04,0.47,0.47,0.23,0,30.1,7.39,0.89,8,1,4,12,0,0,21
1220105400,629.64,36.3,37.04,0.39,0.19,0.1,1,55.75,12.33,0.89,0,2,17,15,2,2,21
1220105500,602.9,35.33,36.17,0.65,0.65,0.32,0,72.13,7.23,0.87,17,0,0,17,0,0,21
1220105600,588.31,34.31,34.97,0.63,0.63,0.31,0,57.65,7.56,0.91,6,10,11,7,0,0,21
1220105700,456.64,31.82,32.71,0.53,0.53,0.26,0,43.73,7.5,0.9,2,3,12,11,0,0,21
1220105800,258.08,31.32,32.06,0.3,0.3,0.15,0,21.88,7.66,0.92,0,3,8,6,0,0,21
1220105900,1093.57,28.81,29.31,1.05,1.05,0.52,0,68.56,10,0.9,0,9,36,29,0,0,21
1220106100,68.17,22.32,22.72,0.07,0.03,0.02,0,3.52,12.65,0.91,0,3,3,0,0,0,21
1220106200,509.76,30.02,30.67,0.63,0.63,0.31,0,46.12,7.48,0.9,3,0,13,17,0,0,21
1220106300,626.45,29.52,30.19,0.78,0.78,0.38,0,55.1,7.56,0.91,0,14,21,7,0,0,21
1220106400,1043.7,26.96,27.44,1.09,1.09,0.53,0,94.17,9.91,0.89,3,0,36,38,0,0,21
1220106500,24.75,24.43,25.09,0.04,0.04,0.02,0,2.53,7.44,0.89,0,1,1,0,0,0,21
1220106600,261.26,26.18,26.86,0.4,0.4,0.2,0,34.65,6.95,0.83,10,0,0,10,0,0,21
1220106800,429.4,29.11,29.8,0.54,0.54,0.26,0,36.17,7.61,0.91,1,11,14,3,0,0,21
1220106900,71.24,35.64,36.44,0.09,0.09,0.04,0,9.3,6.23,0.75,2,0,0,2,0,0,21
1220107000,1238.94,49.07,49.67,0.69,0.69,0.34,0,94.38,10.09,0.91,1,17,24,8,0,0,21
1220107100,44.93,44.47,45.01,0.03,0.03,0.01,0,2.71,9.46,0.85,0,1,1,0,0,0,21
1220107200,210.01,34.59,35.09,0.17,0.17,0.09,0,13.63,9.7,0.87,0,6,6,0,0,0,21
1220107300,147.37,24.39,25.05,0.22,0.22,0.11,0,16.03,7.58,0.91,3,3,3,3,0,0,21
1220107400,312.28,25.77,26.44,0.46,0.46,0.23,0,32.57,7.35,0.88,6,6,6,6,0,0,21
