id,sampledSeconds,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,interval
1220034101,498.7,10.44,10.85,1.03,0.34,0.16,0,30.55,12.9,0.93,0,0,46,46,16,16,4
1220034102,1761.93,40.93,41.71,0.95,0.32,0.16,22,165.72,12.47,0.9,0,0,43,42,31,31,4
1220034202,326.69,15.66,16.08,0.46,0.09,0.04,0,16.1,12.71,0.91,0,1,20,20,14,14,4
1220034203,249.43,10.66,11.07,0.51,0.1,0.05,0,12.08,12.69,0.91,0,0,23,22,13,13,4
1220034204,358.64,13.39,13.81,0.6,0.12,0.06,0,22.49,12.47,0.9,1,0,25,26,24,24,4
1220034302,559.66,15.17,15.55,0.78,0.16,0.08,0,33.15,13.14,0.95,0,0,36,36,41,41,4
1220034303,379.99,10.19,10.57,0.78,0.16,0.08,0,17.82,13.29,0.96,0,0,36,36,26,26,4
1220034304,455.85,12.63,13.03,0.76,0.13,0.06,0,23.58,13.22,0.95,0,0,35,35,26,26,4
1220034402,282.88,10.16,10.9,0.71,0.24,0.11,5,62.24,10.67,0.77,1,1,25,25,6,6,4
1220034404,32.7,4.36,4.73,0.18,0.09,0.04,0,5.31,11.57,0.83,1,0,6,7,0,0,4
1220034405,60.18,19.42,20.06,0.07,0.03,0.02,0,6.34,12.16,0.88,0,0,3,3,3,3,4
1220034406,128.17,6.87,7.25,0.41,0.14,0.07,0,27.68,12.63,0.76,5,0,13,18,11,11,4
1220034407,507.83,26.37,26.75,0.41,0.14,0.07,0,28.02,12.93,0.93,1,0,18,19,16,16,4
1220034502,178.06,8.95,9.37,0.44,0.15,0.07,0,15.41,12.41,0.89,0,0,19,19,6,6,4
1220034504,49.3,3.73,4.11,0.28,0.14,0.06,0,1.96,13.33,0.96,0,1,12,11,0,0,4
1220034505,211.57,20.42,21.16,0.24,0.12,0.06,5,27.87,11.85,0.85,0,2,10,8,0,0,4
1220034506,433.39,26.12,26.49,0.35,0.12,0.06,0,24.16,13.05,0.94,0,0,16,17,6,6,4
1220034507,97.96,5.61,5.97,0.31,0.1,0.05,0,6.17,15.33,0.92,0,0,17,16,0,0,4
